specimen.ID,species,caste,investigator,wing,scale,LM,x,y,scale 1,body,notes
,,,,,,4,1697,686,,,
,,,,,,5,1458,640,,,
,,,,,,6,1417,691,,,
FJ190827-019,tern,W,JL,hindwing,200.003,1,1624.667,390,,,
,,,,,,2,1816.667,507.333,,,
,,,,,,3,1796.667,523.333,,,
,,,,,,4,1636.667,523.333,,,
,,,,,,5,1418,507.333,,,
,,,,,,6,1375.333,562,,,
FJ190828-001,imp,W,JL,hindwing,141.727,1,1386,283,,,
,,,,,,2,1544,359,,,
,,,,,,3,1529,377,,,
,,,,,,4,1419,389,,,
,,,,,,5,1235,390,,,
,,,,,,6,1207,436,,,
FJ190828-002,imp,W,JL,hindwing,141.926,1,1339,571,,,
,,,,,,2,1518,654,,,
,,,,,,3,1506,672,,,
,,,,,,4,1376,681,,,
,,,,,,5,1164,686,,,
,,,,,,6,1131,734,,,
FJ190828-003,imp,W,JL,hindwing,141.725,1,1532,538,,,
,,,,,,2,1686,648,,,
,,,,,,3,1671,668,,,
,,,,,,4,1547,658,,,
,,,,,,5,1330,630,,,
,,,,,,6,1295,675,,,
FJ190828-004,bimac,W,JL,hindwing,142.294,1,1586.667,516,,,
,,,,,,2,1766.667,602.667,,,
,,,,,,3,1757.333,628,,,
,,,,,,4,1598.667,624,,,
,,,,,,5,1408,624,,,
,,,,,,6,1365.333,672,,,
FJ190905-001,imp,W,JL,hindwing,142.387,1,749.667,257,,,
,,,,,,2,885.667,294.333,,,
,,,,,,3,882.333,311.667,,,
,,,,,,4,791.667,337,,,
,,,,,,5,621.667,373.667,,,
,,,,,,6,609,411.667,,,
FJ190905-002,imp,W,JL,hindwing,142.59,1,1072.333,234.333,,,
,,,,,,2,1243.667,320.333,,,
,,,,,,3,1230.333,342.333,,,
,,,,,,4,1095.667,347,,,
,,,,,,5,902.333,345.667,,,
,,,,,,6,869.667,393,,,
FJ190905-003,imp,W,JL,hindwing,141.701,1,678,566,,,
,,,,,,2,814,651,,,
,,,,,,3,798,671,,,
,,,,,,4,694,663,,,
,,,,,,5,514,649,,,
,,,,,,6,488,687,,,
JL190718-001,vag,M,JL,hindwing,141.413,1,1354,1735,,,
,,,,,,2,1496,1812,,,
,,,,,,3,1481,1834,,,
,,,,,,4,1373,1834,,,
,,,,,,5,1202,1822,,,
,,,,,,6,1177,1867,,,
JL190718-002,vag,M,JL,hindwing,140.246,1,1478,548,,,
,,,,,,2,1638,602,,,
,,,,,,3,1628,622,,,
,,,,,,4,1518,641,,,
,,,,,,5,1343,650,,,
,,,,,,6,1322,698,,,
JL190724-001,terri,W,JL,hindwing,142.285,1,1563,553,,,
,,,,,,2,1724,651,,,
,,,,,,3,1712,670,,,
,,,,,,4,1598,669,,,
,,,,,,5,1397,649,,,
,,,,,,6,1363,690,,,
JL190724-002,tern,W,JL,hindwing,142.134,1,1407.667,599,,,
,,,,,,2,1548.333,660.333,,,
,,,,,,3,1538.333,678.333,,,
,,,,,,4,1429.667,685,,,
,,,,,,5,1259.667,690.333,,,
,,,,,,6,1237.667,724.333,,,
JL190724-003,bimac,W,JL,hindwing,141.645,1,1601,346,,,
,,,,,,2,1759,433,,,
,,,,,,3,1749,453,,,
,,,,,,4,1619,453,,,
